date,ticker,low,high,open,close
20060302,GOOG,362.2,381.1,364.28,376.45
20060303,GOOG,375.76,387.24,384.3,378.18
20060306,GOOG,367.14,383.4,380.91,368.1
20060307,GOOG,358.15,368.45,365.02,364.45
20060308,GOOG,350.5411,360.03,353.935,353.88
20060309,GOOG,341.5,358.53,355.39,343
20060310,GOOG,331.55,344.5,343.52,337.5
20060313,GOOG,335.45,346.1,340.93,337.06
20060314,GOOG,332.62,352.37,337.145,351.16
20060315,GOOG,340.53,352.3,350.77,344.5
20060316,GOOG,337.9,348.75,348.61,338.77
20060317,GOOG,334.93,341.78,338.8,339.79
20060320,GOOG,341.54,350.09,342.34,348.19
20060321,GOOG,339.08,351.66,350.01,339.92
20060322,GOOG,337.5,344.1,339.75,340.22
20060323,GOOG,340.2,345.75,342.35,341.89
20060324,GOOG,362.51,370.09,368.6,365.8
20060327,GOOG,365,371.71,367.09,369.69
20060328,GOOG,371.17,377.86,371.71,377.2
20060329,GOOG,379.51,399,379.94,394.98
20060330,GOOG,383.61,393.5,389.22,388.44
20060331,GOOG,384.03,391.87,388.74,390
20060403,GOOG,387.93,392.47,389.53,389.7
20060404,GOOG,388.14,404.9,389.9,404.34
20060405,GOOG,402.82,414.57,408.205,407.99
20060406,GOOG,405.43,413.89,406.49,411.18
20060407,GOOG,404.02,412.85,412.41,406.16
20060410,GOOG,405.25,417.17,407.08,416.38
20060411,GOOG,406.22,419.1,416.42,409.66
20060412,GOOG,405.19,411.33,409,408.95
20060413,GOOG,400.5,409.76,408.63,402.16
20060417,GOOG,400.84,412.5,403.45,406.82
20060418,GOOG,401.5,409.83,407.93,404.24
20060419,GOOG,406.73,413.64,412.57,410.5
20060420,GOOG,408.2,416,411.01,415
20060421,GOOG,436.17,450.72,448.905,437.1
20060424,GOOG,436.52,444.7,439.4,440.5
20060425,GOOG,426,441.04,439.63,427.16
20060426,GOOG,423.53,430.04,427.74,425.97
20060427,GOOG,419.39,426.91,422.91,420.03
20060428,GOOG,416.3,425.73,418.625,417.94
20060501,GOOG,398.55,419.44,418.47,398.9
20060502,GOOG,388.4,402.49,401.08,394.8
20060503,GOOG,390.88,401.5,396.35,394.17
20060504,GOOG,392.21,398.87,395.03,394.75
20060505,GOOG,391.78,400.68,397.6,394.3
20060508,GOOG,390.05,397.12,395.11,394.78
20060509,GOOG,393.75,409,395.695,408.8
20060510,GOOG,401.86,411.71,408.31,402.98
20060511,GOOG,384.98,404.71,403.42,387
20060512,GOOG,373.55,384.87,383.54,374.13
20060515,GOOG,368.25,380.15,375.93,376.2
20060516,GOOG,369.89,376.86,375.99,371.3
20060517,GOOG,370.22,379.84,370.61,374.5
20060518,GOOG,370.71,381.81,378.78,370.99
20060519,GOOG,360.57,374.5,373.28,370.02
20060522,GOOG,365.25,373.03,367.85,370.95
20060523,GOOG,373.56,383.88,374.21,375.58
20060524,GOOG,371.61,383.44,377.35,381.25
20060525,GOOG,372.31,383,379.08,382.99
20060526,GOOG,380.03,385.88,384.55,381.35
20060530,GOOG,371.45,381,378.28,371.94
20060531,GOOG,366.78,378.25,373.802,371.82
20060601,GOOG,371.6,382.99,373.54,382.62
20060602,GOOG,377.45,387.08,386.84,379.44
20060605,GOOG,374.15,381.45,376.18,374.44
20060606,GOOG,376.3,390,376.585,389.99
20060607,GOOG,386.5,394.86,393.24,386.51
20060608,GOOG,378.59,394.27,387.75,393.3
20060609,GOOG,385.35,395.43,392.19,386.57
20060612,GOOG,381,390.49,388.34,381.54
